"Source Item Name","Teapplix SKU",Memo
"
B0GFY87GJM",NS5336,
"
B0GFYCV87C",NS5337,
"    5044b-2 ",5044b-2,
"    5048mcc-4 ",5048MCC-4,
"""5003-24MCC-4""",5003-24MCC-4,
"""5003-24MGM-2""",5003-24MGM-2,
"""5003-24MGM-4""",5003-24MGM-4,
"""5003-24RCC-4""",5003-24RCC-4,
"""5003DM-4""",5003DM-4,
"""5003MCC-2""",5003MCC-2,
"""5003MCC-4""",5003MCC-4,
"""5003MDM-4""",5003MDM-4,
"""5003MGM-4""",5003MGM-4,
"""5003MGM-four""",5003MGM-4,
"""5029B""",5029b,
"""5029W""",5029W,
"""5031BG-4""",5031BG-4,
"""5031CC-4""",5031CC-4,
"""5031DM-four""",5031DM-4,
"""5031MCC-four""",5031MCC-4,
"""5031MDM-four""",5031MDM-4,
"""5031RCC-4""",5031RCC-4,
"""5046BR""",5046BR,
"""5048-24MCC-4""",5048-24MCC-4,
"""5048MCC-4""",5048MCC-4,
"""5060MDM-Four""",5060MDM-4,
"""5061CC""",5061cc,
"""5061DM""",5061dm,
"""5061MCC""",5061MCC,
"""5063CC""",5063cc,
"""5065CC""",5065CC,
"""5070G-2""",5070G-2,
"""5071BR""",5071BR,
"""5072BL""",5072BL,
"""5076-2""",5076-2,
"""5090-4""",5090-4,
"""5090DM-4""",5090dm-4,
"""5091-2""",5091-2,
"""5091BM-2""",5091BM-2,
"""5091H-2""",5091H-2,
"""5091M-2""",5091M-2,
"""5092-2""",5092-2,
"""5096-2""",5096-2,
"""5098-2""",5098-2,
"""5107BG-2""",5107BG-2,
"""5107GR-2""",5107GR-2,
"""5111-2""",5111-2,
"""5112B""",5112B,
"""5112G""",5112G,
"""5113-2""",5113-2,
"""5114-2""",5114-2,
"""5115""",5115,
"""5116-2""",5116-2,
"""5120B-12""",5120B-12,
"""5120B-2""",5120B-2,
"""5121B""",5121B,
"""5121W""",5121W,
"""5122-2""",5122-2,
"""5123-2""",5123-2,
"""5124-2""",5124-2,
"""5125-2""",5125-2,
"""5126-2""",5126-2,
"""5127-2""",5127-2,
"""5128-2""",5128-2,
"""5129-2""",5129-2,
"""5131B""",5131B,
"""5133G""",5133G,
"""5134-2""",5134-2,
"""5139""",5139,
"""5150-2""",5150-2,
"""5151""",5151,
"""5155""",5155,
"""5158""",5158,
"""AM5106-2""",5106-2,
"""AM5109-2""",5109-2,
"""AM5110-2""",5110,
'5050,5050,
'5051,5051,
'5052,5052,
'5074,5074,
'5075,5075,
'5076,5076,
'5077,5077,
'5078,5078,
'5081,5081,
'5083,5083,
'5100,5100,
'5136,5136,
'5139,5139,
'5140,5140,
'5143,5143,
'5144,5144,
'5145,5145,
'5146,5146,
'5147,5147,
'5148,5148,
'5149,5149,
'5151,5151,
'5154,5154,
'5155,5155,
'5156,5156,
'5157,5157,
'5158,5158,
'5159,5159,
'5160,5160,
'5161,5161,
'5162,5162,
'5163,5163,
'5164,5164,
'5165,5165,
'5166,5166,
'5167,5167,
'5168,5168,
'5170,5170,
'5171,5171,
'5172,5172,
'5174,5174,
'5175,5175,
'5176,5176,
'5177,5177,
'5178,5178,
'5180,5180,
'5181,5181,
'5182,5182,
'5186,5186,
'5187,5187,
'5188,5188,
'5193,5193,
'5194,5194,
'5195,5195,
070513205537,2050B,
070513205544,2050w-n,
070513205551,3000w,
070513205568,2050B,
070513215871,3000w,
070513235008,2050c,
070513235091,5003S,
070513235138,5003B,
070513235145,5002B,
070513235152,5001B,
070513235169,5000B,
070513235176,5000W,
070513235183,2050c,
070513235251,5003B-4,
070513235275,5003S-4,
070513235329,5003DM-4,
070513235343,5003MCC-4,
070513235459,5003DM-2,
070513235466,5003MCC-2,
070513235510,5011-2pack,
070513235541,5014P-2pack,
070513235572,5014L-2pack,
070513235770,3010w,
070513235794,5000BR,
070513235800,5010c,
070513235817,5012W,
070513235824,5010BR,
070513235831,5010B,
070513235848,5011BR,
070513235855,5011B,
070513235862,5011W,
070513235879,2060w,
070513235886,3000C,
070513235909,3012w,
070513235916,5020W-4,
070513235923,5020B-4,
070513235947,5020W-2,
070513235954,5020B-2,
070513235978,5021w-4,
070513235985,5021B-4,
070513235992,5021W-2,
070513236005,5021B-2,
070513236012,5022W-2,
070513236029,5022B-2,
070513236036,5022W,
070513236043,5022B,
070513236050,5023W-2,
070513236104,5026C-2,
070513236111,5027C,
070513236128,5027C-2,
070513236753,5003-24CC-2,
070513236760,5003-24CC-4,
070513236777,5003-24DM-2,
070513236784,5003-24DM-4,
070513236791,5003-24MCC-2,
070513236807,5003-24MCC-4,
070513236814,5003-24MGM-2,
070513236821,5003-24MGM-4,
070513236838,5003MDM-2,
070513236845,5003MDM-4,
070513236852,5003-24CC-4,
070513236869,5003-24DM-4,
070513236876,5003-24MCC-4,
070513236883,5003-24MGM-4,
070513236906,5003-24S-4,
070513236913,5003-24S-4,
070513236920,5020B-4,
070513236944,5020W-4,
070513236951,5021B-4,
070513236975,5022B-2,
070513236982,5022W-2,
070513236999,5023W-2,
070513237019,5028P-2,
070513237033,5003-24MDM-4,
070513237040,2050B,
070513237057,2050c,
070513237064,2050w-n,
070513237071,5020B-2,
070513237088,5020B-4,
070513237095,5020C-2,
070513237149,5021B-2,
070513237156,5021B-4,
070513237163,5021C-2,
070513237194,5022B,
070513237200,5022B-2,
070513237217,5022W,
070513237224,5022W-2,
070513237262,5028P-2,
070513237309,5029b,
070513237316,5029W,
070513237323,5003DM-2,
070513237347,5030B,
070513237644,5032-24B-4,
070513237668,5031DM-4,
070513237699,5031MCC-4,
070513237705,5003-24DC-4,
070513237743,5037B,
070513237767,5038B,
070513237781,5040B,
070513239198,5041B,
070513239204,5042B,
070513239211,5042W,
070513239228,5043B,
070513239235,5043W,
070513239259,5003CC-4,
070513239280,5003MCC-2,
070513239297,5003MGM-4,
070513239549,5048MCC-4,
070513239556,5048MCC-2,
070513239563,5048DM-4,
070513239570,5048DM-2,
070513239587,5048MDM-4,
070513239594,5048MDM-2,
070513239600,5048-24MDM-4,
070513239617,5048-24MDM-2,
070513239624,5048-24MCC-4,
070513239631,5048-24MCC-2,
070513239648,5048-24DM-4,
070513239655,5048-24DM-2,
070513239679,5044BG,
070513239686,5044b,
070513239693,5044BGE-2,
070513239716,5045BGE-2,
070513240569,3000w,
070513256485,AM5291,
070513256492,AM5292,
"1 chair ",5012W,
2050-B,2050B,
2050B-11,2050B,
2050B-11-LA,2050B,
2050b-fba,2050B,
2050b-n,2050B,
2050b-n-LA,2050B,
2050C-LA,2050c,
2050C-n,2050c,
2050C-n-LA,2050c,
2050cc,2050c,
2050W,2050w-n,
2051W-LA,2051w,
2060w-LA,2060w,
24RCC5003,5003-24RCC-4,
"30-inch Tabouret Metal Counter Bar Stools Glossy Black Studio Stool 1, 2, 4[(set of 4) bar stool][(set of 4) bar stool]",5003B-4,
3000B-B,3000B,
3000B-B-LA,3000B,
3000C-B,3000C,
3000C-B-LA,3000C,
3000C-LA,3000C,
3000w-B,3000w,
3000w-B-LA,3000w,
3000w-n,3000w,
3000w-n-LA,3000w,
3000W1,3000w,
3000W1-LA,3000w,
3010w-LA,3010w,
3050white,3050w,
4000DB,2050c,
